职位唯一标识(encryptJobId),职位名称,薪资,技能要求,学历要求,工作经验,公司名称,城市,招聘负责人,福利,职位链接
fe1ff543e61b064f03Zy0ti4FVpW,混元大模型语音算法工程师,50-80K·15薪,"['ASR', 'TTS', '语音大模型', '语音通话']",硕士,5-10年,腾讯,北京,郭先生,"免费班车, 员工旅游, 交通补助, 五险一金, 餐补, 股票期权, 带薪年假, 年终奖, 节日福利, 公仔周边活动, 定期体检, 包吃, 零食下午茶, 免费健身房, 免费早晚餐, 住房补贴, 补充医疗保险",https://www.zhipin.com/job_detail/fe1ff543e61b064f03Zy0ti4FVpW.html?securityId=ClhtFaqcMFDER-M1H8wQTLUYZxiNfYeGFcLupZDXXGufGYAwGBWV-fBjVUdCASkW1c3qTGy5kafe6_RH4kroydatSk2UB07pOZdoRnuYeEZuxlneb_z2
8657073138fa8b8303d-3t61F1RQ,游戏系统策划(腾娱),11-22K·14薪,"['MOBA游戏', '竞技性游戏']",本科,1-3年,腾讯,深圳,陈女士,"五险一金, 餐补, 节日福利, 免费班车, 股票期权, 免费健身房, 公仔周边活动, 带薪年假, 零食下午茶, 员工旅游, 年终奖, 交通补助, 住房补贴, 补充医疗保险, 定期体检, 包吃, 免费早晚餐",https://www.zhipin.com/job_detail/8657073138fa8b8303d-3t61F1RQ.html?securityId=0DgAXqvo4lSEX-u1UYC4iYzA8HUNTQkHzUb_IkkUwuzU45Iwccg-puCrrdimaax1-36rysaHITbb-3Q1TJFOUrNoQGu89LZAH84Sd3kq0S9v7NSBv7w~
da1f5b577504ff6a03Vz2t6_FlpU,微信安全-大模型内容安全算法工程师(北京),65-95K·17薪,"['深度学习', '图像算法', 'C/C++', '大模型安全']",硕士,3-5年,腾讯,北京,罗先生,"免费健身房, 股票期权, 节日福利, 免费早晚餐, 公仔周边活动, 五险一金, 零食下午茶, 餐补, 补充医疗保险, 交通补助, 包吃, 带薪年假, 住房补贴, 年终奖, 员工旅游, 定期体检, 免费班车",https://www.zhipin.com/job_detail/da1f5b577504ff6a03Vz2t6_FlpU.html?securityId=ntTTItv8WPuVL-i1sxKJVxIzGwKRb__ZVOmUvEJrCVCU4ZP2Z903__uGo6FEI-9hULBjP21r3weBHyvCWiaTMxOCiLuvtHjROAGhlOCp8XlpT8nvtLLbD4ubHS1vCKi-dVPMNPfT4KjvRGae6phmn6ii
69c4fb0b02e70baf03Z_09W9E1VW,西安-腾讯云大数据基础产品后台开发-AI方向,14-24K·14薪,"['Golang', 'Java', '大数据经验', 'MySQL', 'Spring']",本科,3-5年,腾讯,西安,苏女士,"股票期权, 带薪年假, 定期体检, 公仔周边活动, 免费班车, 免费健身房, 五险一金, 餐补, 员工旅游, 免费早晚餐, 交通补助, 补充医疗保险, 节日福利, 零食下午茶, 包吃, 住房补贴, 年终奖",https://www.zhipin.com/job_detail/69c4fb0b02e70baf03Z_09W9E1VW.html?securityId=5Z8oczcbhCa3a-G1Rkfu7z_AT2gV9znsX8TCMcHodaYLRfMogvINBw4uprQP6uOlNfXotUmbdNSQzxX-GCO5GSoOX7p-8FesoO0qJF9JPTGotS0TSlQ~
20f2895ce4a7bdff03Z9092-EVFS,游戏Ai策划- PUBGM（腾娱）,11-20K·14薪,"['战斗系统设计', '装备系统设计', '第一人称', '第三人称', '射击游戏', 'AI', '怪物AI']",本科,3-5年,腾讯,深圳,饶女士,"员工旅游, 五险一金, 公仔周边活动, 补充医疗保险, 带薪年假, 包吃, 定期体检, 免费班车, 交通补助, 年终奖, 节日福利, 住房补贴, 免费健身房, 股票期权, 餐补, 免费早晚餐, 零食下午茶",https://www.zhipin.com/job_detail/20f2895ce4a7bdff03Z9092-EVFS.html?securityId=UTE8mqMExfLva-S1_7V_q2jkAbOdoxWjhAr81c0d5nOGHbUBh7R5RJMzuml9ltPkxOyzrngwuRpGKbEIiFctX_pvftJLuEEEw-W3MBj0RH0Fp1k1JJ2FAZNDlzyHLbyrflIR0WtCqMXvfKPgf3e70Hs~
a61566b6a81d397203d_2du-FlNV,场景原画-逆战端游-腾娱互动,11-19K·14薪,"['有原画经验/技能', '甲方公司', '五险一金', '年终奖', '周末双休', '现场办公', '3-5年原画经验', '场景原画', '游戏行业经验', '影视行业经验', '写实', '科幻', 'PS']",大专,3-5年,腾讯,武汉,包女士,"员工旅游, 免费班车, 包吃, 交通补助, 股票期权, 补充医疗保险, 五险一金, 零食下午茶, 餐补, 免费早晚餐, 定期体检, 住房补贴, 年终奖, 公仔周边活动, 带薪年假, 免费健身房, 节日福利",https://www.zhipin.com/job_detail/a61566b6a81d397203d_2du-FlNV.html?securityId=W6wc1DvDtZIE0-I15taEKEVYGtjCuM6AiTH_8VwiiNQ7FY54PfxZSukGPjCRiC0wbWY4w77pkubQDGYCN2tD8oiyIRAJKW8_7FNGNy87L1Ophla7H4F-
22dc67ed66b7869103d42tm6ElBZ,腾娱-FPS游戏测试开发工程师,12-20K·14薪,"['自动化测试经验', 'C++', '测试工作经验', '计算机相关专业', 'Fps游戏', '测试开发', '软件开发经验', 'Python']",本科,在校/应届,腾讯,深圳,李女士,"公仔周边活动, 员工旅游, 交通补助, 有无线网, 免费健身房, 意外险, 五险一金, 定期体检, 补充医疗保险, 节日福利, 年终奖, 带薪年假, 免费班车, 团建聚餐",https://www.zhipin.com/job_detail/22dc67ed66b7869103d42tm6ElBZ.html?securityId=ttUXAPXZ9iJZS-51Du1qaXrvsWLxMzrbgXppRpMDLE_5jN6jGkp1bHGg1ficF59xpkC1qWwgW4Xm7nt_nvtsl2GcXMnCxYGWlQlwDckFvnX8Fw~~
0e9d8d019dfabe141HR809y5F1FX,腾讯云BI-大模型算法工程师,60-90K·15薪,"['LLaMA', 'spark', 'hadoop', '机器学习', '深度学习']",本科,5-10年,腾讯,深圳,赖先生,"五险一金, 带薪年假, 定期体检, 公仔周边活动, 股票期权, 年终奖, 免费健身房, 免费班车, 餐补, 零食下午茶, 补充医疗保险, 节日福利, 包吃, 免费早晚餐, 员工旅游, 交通补助, 住房补贴",https://www.zhipin.com/job_detail/0e9d8d019dfabe141HR809y5F1FX.html?securityId=JQq6NOJGZ19r6-j1Fq45TGCelJ39gUTSgdFbuP4tyKoBUDQW06GhD3H1EmgHK2XlIHFZxQq50AgQZ2f_adccq5N06785_YZHeMuvP6I69Byzug9y25Tg
4bd7bf3394ac81111H163Ni-ElRS,hrbp,15-25K·16薪,"['组织发展', '招聘', '人才发展', 'HRBP经验', '业务部门']",本科,1-3年,腾讯,深圳,娜女士,"五险一金, 补充医疗保险, 公仔周边活动, 定期体检, 包吃, 住房补贴, 员工旅游, 年终奖, 股票期权, 带薪年假, 零食下午茶, 交通补助, 免费健身房, 免费班车, 免费早晚餐, 节日福利, 餐补",https://www.zhipin.com/job_detail/4bd7bf3394ac81111H163Ni-ElRS.html?securityId=3QikwQnU7HO7--J17lxKXKrvI94drP4mlQb9EQvE5S1JXforwkueNmCstSkOmYluFy5IMz-eGt-9MM8K_0GnjbY7on9-5PXn_O9Y8PI5a96qBz93MddA
906ad4f38f49fd791HN83N6-GFFR,UE客户端开发工程师(Gameplay)(上海),26-50K·16薪,"['UE4', 'C/C++', '计算机/软件工程相关专业', 'UE4开发经验', 'GAS']",本科,3-5年,腾讯,上海,杨女士,"五险一金, 节日福利, 免费早晚餐, 年终奖, 补充医疗保险, 股票期权, 带薪年假, 包吃, 住房补贴, 员工旅游, 公仔周边活动, 餐补, 免费健身房, 交通补助, 零食下午茶, 定期体检, 免费班车",https://www.zhipin.com/job_detail/906ad4f38f49fd791HN83N6-GFFR.html?securityId=iaOqkbldIJak1-S1TLexDUeFskji3ha6camgspZeotAPYHe1FnwqLglyxS_jMdzDgMEKd_9kmWZSilr8pEfQllhVe5QxfiunLmbS4FekrZIpBCYOgbPg
